,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-11-18,73.56999969482422,392.7209167480469,180.19000244140625,73.56999969482422,396.0299987792969,180.19000244140625,75.3499984741211,397.80999755859375,185.19000244140625,72.18000030517578,393.0400085449219,176.5500030517578,75.06999969482422,397.739990234375,185.0500030517578,73223200,92922500,76048900
2022-11-21,72.45999908447266,391.2929382324219,167.8699951171875,72.45999908447266,394.5899963378906,167.8699951171875,72.9800033569336,395.82000732421875,176.77000427246094,71.56999969482422,392.6600036621094,167.5399932861328,72.20999908447266,394.6400146484375,175.85000610351562,51536300,51243200,92882700
2022-11-22,75.25,396.55859375,169.91000366210938,75.25,399.8999938964844,169.91000366210938,75.33000183105469,400.07000732421875,170.9199981689453,72.11000061035156,395.1499938964844,166.19000244140625,72.72000122070312,396.6300048828125,168.6300048828125,55450200,60429000,78452300
2022-11-23,76.4000015258789,399.0575256347656,183.1999969482422,76.4000015258789,402.4200134277344,183.1999969482422,78.22000122070312,402.92999267578125,183.6199951171875,75.30000305175781,399.30999755859375,172.5,75.48999786376953,399.54998779296875,173.57000732421875,81623600,68261600,109536700
2022-11-25,75.13999938964844,398.96826171875,182.86000061035156,75.13999938964844,402.3299865722656,182.86000061035156,76.04000091552734,402.9100036621094,185.1999969482422,74.75,401.5400085449219,180.6300048828125,75.66999816894531,401.8299865722656,185.05999755859375,26018900,30545400,50672700
2022-11-28,73.19000244140625,392.6018981933594,182.9199981689453,73.19000244140625,395.9100036621094,182.9199981689453,75.47000122070312,400.80999755859375,188.5,72.56999969482422,395.1099853515625,179.0,73.80999755859375,399.0899963378906,179.9600067138672,45383800,67881600,92905200
2022-11-29,73.38999938964844,391.9276123046875,180.8300018310547,73.38999938964844,395.2300109863281,180.8300018310547,74.48999786376953,397.29998779296875,186.3800048828125,72.77999877929688,393.29998779296875,178.75,73.62000274658203,396.04998779296875,184.99000549316406,51846400,52310000,83357100
2022-11-30,77.62999725341797,404.2735595703125,194.6999969482422,77.62999725341797,407.67999267578125,194.6999969482422,77.69999694824219,407.67999267578125,194.75999450683594,72.80999755859375,393.4800109863281,180.6300048828125,73.37999725341797,395.489990234375,182.42999267578125,88468400,144566700,109186400
2022-12-01,77.4800033569336,403.97607421875,194.6999969482422,77.4800033569336,407.3800048828125,194.6999969482422,79.2300033569336,410.0,198.9199981689453,76.44000244140625,404.75,191.8000030517578,78.30999755859375,408.7699890136719,197.0800018310547,59833400,76398200,80046200
2022-12-02,74.9800033569336,403.510009765625,194.86000061035156,74.9800033569336,406.9100036621094,194.86000061035156,76.27999877929688,407.8599853515625,196.25,73.6500015258789,402.1400146484375,191.11000061035156,75.05000305175781,402.25,191.77999877929688,64377200,85342700,73645900
2022-12-05,73.62000274658203,396.25115966796875,182.4499969482422,73.62000274658203,399.5899963378906,182.4499969482422,75.16999816894531,404.92999267578125,191.27000427246094,72.81999969482422,398.1700134277344,180.5500030517578,74.54000091552734,403.95001220703125,189.44000244140625,47022200,77289800,93122700
2022-12-06,70.2699966430664,390.5392761230469,179.82000732421875,70.2699966430664,393.8299865722656,179.82000732421875,73.38999938964844,399.989990234375,183.64999389648438,69.4000015258789,391.6400146484375,175.3300018310547,73.08000183105469,399.4200134277344,181.22000122070312,64965200,77972200,92150800
2022-12-07,70.13999938964844,389.8748779296875,174.0399932861328,70.13999938964844,393.1600036621094,174.0399932861328,71.37000274658203,395.6400146484375,179.3800048828125,69.27999877929688,391.9700012207031,172.22000122070312,69.52999877929688,392.94000244140625,175.02999877929688,59180100,65927900,84213300
2022-12-08,70.47000122070312,392.92913818359375,173.44000244140625,70.47000122070312,396.239990234375,173.44000244140625,71.22000122070312,397.3599853515625,175.1999969482422,69.0,393.2699890136719,169.05999755859375,70.13999938964844,395.1400146484375,172.1999969482422,56734100,60737900,97624500
2022-12-09,68.58999633789062,389.993896484375,179.0500030517578,68.58999633789062,393.2799987792969,179.0500030517578,70.66999816894531,397.6199951171875,182.5,68.5199966430664,393.1499938964844,173.36000061035156,69.48999786376953,394.94000244140625,173.83999633789062,59058300,81447700,104872300
2022-12-12,70.66999816894531,395.61651611328125,167.82000732421875,70.66999816894531,398.95001220703125,167.82000732421875,70.66999816894531,398.95001220703125,177.3699951171875,67.52999877929688,393.4100036621094,167.52000427246094,68.54000091552734,394.1099853515625,176.10000610351562,60968300,75405800,109794500
2022-12-13,71.6500015258789,398.6112976074219,160.9499969482422,71.6500015258789,401.9700012207031,160.9499969482422,75.20999908447266,410.489990234375,175.0500030517578,70.66000366210938,399.07000732421875,156.91000366210938,74.87000274658203,410.2200012207031,174.8699951171875,72458000,123782500,175862700
2022-12-14,68.93000030517578,396.0627746582031,156.8000030517578,68.93000030517578,399.3999938964844,156.8000030517578,72.0,405.5,161.6199951171875,68.31999969482422,396.30999755859375,155.30999755859375,70.93000030517578,401.6099853515625,159.25,67278000,108111300,140682300
2022-12-15,66.52999877929688,386.3743896484375,157.6699981689453,66.52999877929688,389.6300048828125,157.6699981689453,68.20999908447266,395.25,160.92999267578125,66.12000274658203,387.8900146484375,153.27999877929688,67.5999984741211,394.29998779296875,153.44000244140625,58557000,117705900,122334500
2022-12-16,65.41000366210938,381.81280517578125,150.22999572753906,65.41000366210938,383.2699890136719,150.22999572753906,67.19000244140625,386.5799865722656,160.99000549316406,64.80000305175781,381.0400085449219,150.0399932861328,66.25,385.17999267578125,159.63999938964844,62438600,119858000,139032200
2022-12-19,64.58999633789062,378.5751647949219,149.8699951171875,64.58999633789062,380.0199890136719,149.8699951171875,65.58999633789062,383.82000732421875,155.25,63.709999084472656,378.2799987792969,145.82000732421875,65.12000274658203,383.4700012207031,154.0,46246900,79878100,139390600
2022-12-20,65.05000305175781,379.09320068359375,137.8000030517578,65.05000305175781,380.5400085449219,137.8000030517578,66.05999755859375,382.2300109863281,148.47000122070312,63.52000045776367,377.8500061035156,137.66000366210938,63.7599983215332,379.2300109863281,146.0500030517578,52431300,74427200,159563300
2022-12-21,67.68000030517578,384.7615661621094,137.57000732421875,67.68000030517578,386.2300109863281,137.57000732421875,67.8499984741211,387.4100036621094,141.25999450683594,65.20999908447266,382.69000244140625,135.88999938964844,65.43000030517578,383.25,139.33999633789062,44167600,78167400,145417400
2022-12-22,63.86000061035156,379.2724914550781,125.3499984741211,63.86000061035156,380.7200012207031,125.3499984741211,66.30999755859375,386.2099914550781,136.6300048828125,62.2599983215332,374.7699890136719,122.26000213623047,66.08000183105469,383.04998779296875,136.0,73917700,100120900,210090300
